Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts,Year,Quarter
"Fonseca, Peter",Mississauga East—Cooksville,Liberal,45610.53,2359.01,0.0,29619.87,2021,2
"Fortier, Hon. Mona",Ottawa—Vanier,Liberal,87008.6,0.0,237.96,16015.82,2021,2
"Fortin, Rhéal",Rivière-du-Nord,Bloc Québécois,66146.01,9118.64,235.83,22963.06,2021,2
"Fragiskatos, Peter",London North Centre,Liberal,58682.12,0.0,184.06,39885.63,2021,2
"Fraser, Sean",Central Nova,Liberal,71374.24,1017.42,0.0,15652.43,2021,2
"Freeland, Hon. Chrystia",University—Rosedale,Liberal,53886.7,0.0,0.0,16232.81,2021,2
"Fry, Hon. Hedy",Vancouver Centre,Liberal,59567.56,7177.53,0.0,40735.88,2021,2
"Gallant, Cheryl",Renfrew—Nipissing—Pembroke,Conservative,68430.39,5435.51,43.24,33807.6,2021,2
"Garneau, Hon. Marc",Notre-Dame-de-Grâce—Westmount,Liberal,45098.06,613.82,0.0,15683.54,2021,2
"Garrison, Randall",Esquimalt—Saanich—Sooke,New Democratic Party,79719.02,5239.15,0.0,22313.38,2021,2
"Gaudreau, Marie-Hélène",Laurentides—Labelle,Bloc Québécois,65129.28,11319.71,666.62,35219.66,2021,2
"Gazan, Leah",Winnipeg Centre,New Democratic Party,73053.29,8218.24,77.93,22558.01,2021,2
"Généreux, Bernard",Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Conservative,63718.67,8825.43,81.21,30282.4,2021,2
"Genuis, Garnett",Sherwood Park—Fort Saskatchewan,Conservative,84032.07,20869.0,338.12,19747.29,2021,2
"Gerretsen, Mark",Kingston and the Islands,Liberal,100750.8,7129.9,0.0,24532.74,2021,2
"Gill, Marilène",Manicouagan,Bloc Québécois,76999.21,55843.06,494.3,40902.99,2021,2
"Gladu, Marilyn",Sarnia—Lambton,Conservative,76384.22,11942.27,0.0,18969.72,2021,2
"Godin, Joël",Portneuf—Jacques-Cartier,Conservative,66777.52,4446.67,453.43,29568.28,2021,2
"Gould, Hon. Karina",Burlington,Liberal,73217.26,480.85,11.97,31318.52,2021,2
"Gourde, Jacques",Lévis—Lotbinière,Conservative,50552.46,11220.01,3017.64,57054.18,2021,2
"Gray, Tracy",Kelowna—Lake Country,Conservative,71200.65,16578.15,51.1,14453.44,2021,2
"Green, Matthew",Hamilton Centre,New Democratic Party,79897.17,8741.82,0.0,13548.13,2021,2
"Guilbeault, Hon. Steven",Laurier—Sainte-Marie,Liberal,68024.88,5100.0,86.79,14182.28,2021,2
"Hajdu, Hon. Patty",Thunder Bay—Superior North,Liberal,91608.73,6829.14,0.0,26499.06,2021,2
"Hallan, Jasraj Singh",Calgary Forest Lawn,Conservative,69970.39,6000.0,2110.96,13249.56,2021,2
"Harder, Rachael",Lethbridge,Conservative,78775.42,21745.85,1811.15,17686.83,2021,2
"Hardie, Ken",Fleetwood—Port Kells,Liberal,86384.82,16201.02,0.0,23971.23,2021,2
"Harris, Jack",St. John's East,New Democratic Party,69671.28,0.0,104.59,17424.03,2021,2
"Hoback, Randy",Prince Albert,Conservative,72086.06,23720.8,2285.13,38947.42,2021,2
"Holland, Hon. Mark",Ajax,Liberal,91449.86,8134.16,0.0,19932.13,2021,2
"Housefather, Anthony",Mount Royal,Liberal,62411.91,0.0,120.81,29026.63,2021,2
"Hughes, Carol",Algoma—Manitoulin—Kapuskasing,New Democratic Party,80745.68,12155.27,29.75,19459.23,2021,2
"Hussen, Hon. Ahmed",York South—Weston,Liberal,87715.27,0.0,0.0,17544.07,2021,2
"Hutchings, Gudie",Long Range Mountains,Liberal,87750.37,18661.97,0.0,28782.14,2021,2
"Iacono, Angelo",Alfred-Pellan,Liberal,65449.71,288.16,102.61,42387.83,2021,2
"Jaczek, Helena",Markham—Stouffville,Liberal,82096.81,5550.0,80.43,22794.2,2021,2
"Jansen, Tamara",Cloverdale—Langley City,Conservative,66286.85,8278.1,399.13,27536.38,2021,2
"Jeneroux, Matt",Edmonton Riverbend,Conservative,66181.9,16802.31,1118.56,39654.64,2021,2
